felony_date,felony_count
2006-01-01,268
2006-01-02,122
2006-01-03,174
2006-01-04,124
2006-01-05,146
2006-01-06,172
2006-01-07,120
2006-01-08,121
2006-01-09,175
2006-01-10,153
2006-01-11,156
2006-01-12,162
2006-01-13,168
2006-01-14,152
2006-01-15,100
2006-01-16,113
2006-01-17,138
2006-01-18,152
2006-01-19,143
2006-01-20,171
2006-01-21,140
2006-01-22,106
2006-01-23,133
2006-01-24,162
2006-01-25,164
2006-01-26,135
2006-01-27,165
2006-01-28,125
2006-01-29,111
2006-01-30,140
2006-01-31,127
2006-02-01,187
2006-02-02,135
2006-02-03,149
2006-02-04,110
2006-02-05,111
2006-02-06,134
2006-02-07,122
2006-02-08,128
2006-02-09,134
2006-02-10,162
2006-02-11,125
2006-02-12,57
2006-02-13,97
2006-02-14,115
2006-02-15,137
2006-02-16,155
2006-02-17,175
2006-02-18,122
2006-02-19,118
2006-02-20,106
2006-02-21,153
2006-02-22,111
2006-02-23,129
2006-02-24,121
2006-02-25,117
2006-02-26,95
2006-02-27,141
2006-02-28,130
2006-03-01,210
2006-03-02,130
2006-03-03,148
2006-03-04,124
2006-03-05,109
2006-03-06,141
2006-03-07,141
2006-03-08,146
2006-03-09,156
2006-03-10,157
2006-03-11,143
2006-03-12,111
2006-03-13,155
2006-03-14,138
2006-03-15,120
2006-03-16,157
2006-03-17,137
2006-03-18,118
2006-03-19,108
2006-03-20,129
2006-03-21,150
2006-03-22,124
2006-03-23,129
2006-03-24,148
2006-03-25,128
2006-03-26,101
2006-03-27,140
2006-03-28,143
2006-03-29,166
2006-03-30,131
2006-03-31,144
2006-04-01,176
2006-04-02,111
2006-04-03,121
2006-04-04,141
2006-04-05,132
2006-04-06,157
2006-04-07,172
2006-04-08,135
2006-04-09,98
2006-04-10,160
2006-04-11,121
2006-04-12,147
2006-04-13,138
2006-04-14,123
2006-04-15,141
2006-04-16,129
2006-04-17,146
2006-04-18,144
2006-04-19,130
2006-04-20,148
2006-04-21,161
2006-04-22,130
2006-04-23,125
2006-04-24,143
2006-04-25,132
2006-04-26,149
2006-04-27,167
2006-04-28,160
2006-04-29,144
2006-04-30,119
2006-05-01,197
2006-05-02,158
2006-05-03,150
2006-05-04,147
2006-05-05,170
2006-05-06,134
2006-05-07,118
2006-05-08,138
2006-05-09,132
2006-05-10,155
2006-05-11,190
2006-05-12,138
2006-05-13,130
2006-05-14,143
2006-05-15,143
2006-05-16,150
2006-05-17,143
2006-05-18,168
2006-05-19,148
2006-05-20,137
2006-05-21,107
2006-05-22,154
2006-05-23,158
2006-05-24,160
2006-05-25,142
2006-05-26,156
2006-05-27,127
2006-05-28,133
2006-05-29,109
2006-05-30,144
2006-05-31,173
2006-06-01,207
2006-06-02,141
2006-06-03,117
2006-06-04,106
2006-06-05,149
2006-06-06,142
2006-06-07,170
2006-06-08,117
2006-06-09,147
2006-06-10,131
2006-06-11,121
2006-06-12,142
2006-06-13,135
2006-06-14,155
2006-06-15,161
2006-06-16,141
2006-06-17,136
2006-06-18,119
2006-06-19,121
2006-06-20,156
2006-06-21,152
2006-06-22,171
2006-06-23,188
2006-06-24,138
2006-06-25,124
2006-06-26,153
2006-06-27,149
2006-06-28,147
2006-06-29,161
2006-06-30,165
2006-07-01,202
2006-07-02,118
2006-07-03,142
2006-07-04,137
2006-07-05,152
2006-07-06,145
2006-07-07,190
2006-07-08,129
2006-07-09,137
2006-07-10,142
2006-07-11,155
2006-07-12,166
2006-07-13,135
2006-07-14,135
2006-07-15,140
2006-07-16,115
2006-07-17,152
2006-07-18,148
2006-07-19,144
2006-07-20,159
2006-07-21,145
2006-07-22,152
2006-07-23,123
2006-07-24,126
2006-07-25,157
2006-07-26,138
2006-07-27,172
2006-07-28,159
2006-07-29,126
2006-07-30,136
2006-07-31,152
2006-08-01,203
2006-08-02,157
2006-08-03,161
2006-08-04,165
2006-08-05,170
2006-08-06,119
2006-08-07,178
2006-08-08,183
2006-08-09,183
2006-08-10,141
2006-08-11,148
2006-08-12,145
2006-08-13,141
2006-08-14,137
2006-08-15,148
2006-08-16,145
2006-08-17,160
2006-08-18,153
2006-08-19,153
2006-08-20,168
2006-08-21,154
2006-08-22,144
2006-08-23,129
2006-08-24,160
2006-08-25,183
2006-08-26,136
2006-08-27,126
2006-08-28,148
2006-08-29,136
2006-08-30,165
2006-08-31,151
2006-09-01,210
2006-09-02,120
2006-09-03,117
2006-09-04,168
2006-09-05,135
2006-09-06,157
2006-09-07,132
2006-09-08,164
2006-09-09,135
2006-09-10,136
2006-09-11,158
2006-09-12,147
2006-09-13,148
2006-09-14,157
2006-09-15,160
2006-09-16,126
2006-09-17,132
2006-09-18,147
2006-09-19,130
2006-09-20,184
2006-09-21,166
2006-09-22,167
2006-09-23,162
2006-09-24,140
2006-09-25,148
2006-09-26,141
2006-09-27,159
2006-09-28,149
2006-09-29,169
2006-09-30,142
2006-10-01,181
2006-10-02,150
2006-10-03,171
2006-10-04,155
2006-10-05,156
2006-10-06,185
2006-10-07,132
2006-10-08,111
2006-10-09,139
2006-10-10,157
2006-10-11,149
2006-10-12,169
2006-10-13,160
2006-10-14,134
2006-10-15,134
2006-10-16,162
2006-10-17,147
2006-10-18,158
2006-10-19,163
2006-10-20,192
2006-10-21,126
2006-10-22,118
2006-10-23,153
2006-10-24,141
2006-10-25,167
2006-10-26,155
2006-10-27,167
2006-10-28,145
2006-10-29,134
2006-10-30,151
2006-10-31,195
2006-11-01,201
2006-11-02,146
2006-11-03,152
2006-11-04,106
2006-11-05,121
2006-11-06,145
2006-11-07,144
2006-11-08,153
2006-11-09,169
2006-11-10,170
2006-11-11,153
2006-11-12,131
2006-11-13,156
2006-11-14,150
2006-11-15,171
2006-11-16,165
2006-11-17,186
2006-11-18,140
2006-11-19,128
2006-11-20,146
2006-11-21,148
2006-11-22,158
2006-11-23,92
2006-11-24,129
2006-11-25,131
2006-11-26,134
2006-11-27,135
2006-11-28,159
2006-11-29,147
2006-11-30,167
2006-12-01,223
2006-12-02,122
2006-12-03,127
2006-12-04,136
2006-12-05,133
2006-12-06,156
2006-12-07,139
2006-12-08,135
2006-12-09,139
2006-12-10,121
2006-12-11,151
2006-12-12,160
2006-12-13,148
2006-12-14,151
2006-12-15,170
2006-12-16,140
2006-12-17,102
2006-12-18,149
2006-12-19,143
2006-12-20,190
2006-12-21,176
2006-12-22,189
2006-12-23,157
2006-12-24,130
2006-12-25,91
2006-12-26,127
2006-12-27,141
2006-12-28,172
2006-12-29,139
2006-12-30,127
2006-12-31,134
2007-01-01,322
2007-01-02,149
2007-01-03,149
2007-01-04,164
2007-01-05,166
2007-01-06,141
2007-01-07,128
2007-01-08,137
2007-01-09,158
2007-01-10,153
2007-01-11,159
2007-01-12,178
2007-01-13,142
2007-01-14,133
2007-01-15,121
2007-01-16,155
2007-01-17,135
2007-01-18,140
2007-01-19,157
2007-01-20,127
2007-01-21,106
2007-01-22,129
2007-01-23,136
2007-01-24,124
2007-01-25,121
2007-01-26,118
2007-01-27,117
2007-01-28,123
2007-01-29,117
2007-01-30,144
2007-01-31,123
2007-02-01,169
2007-02-02,138
2007-02-03,115
2007-02-04,95
2007-02-05,118
2007-02-06,99
2007-02-07,107
2007-02-08,124
2007-02-09,120
2007-02-10,119
2007-02-11,80
2007-02-12,126
2007-02-13,130
2007-02-14,99
2007-02-15,111
2007-02-16,119
2007-02-17,90
2007-02-18,94
2007-02-19,102
2007-02-20,135
2007-02-21,126
2007-02-22,110
2007-02-23,140
2007-02-24,130
2007-02-25,101
2007-02-26,114
2007-02-27,157
2007-02-28,142
2007-03-01,167
2007-03-02,145
2007-03-03,127
2007-03-04,110
2007-03-05,116
2007-03-06,95
2007-03-07,127
2007-03-08,141
2007-03-09,134
2007-03-10,132
2007-03-11,124
2007-03-12,122
2007-03-13,133
2007-03-14,141
2007-03-15,146
2007-03-16,113
2007-03-17,78
2007-03-18,83
2007-03-19,102
2007-03-20,135
2007-03-21,144
2007-03-22,131
2007-03-23,117
2007-03-24,105
2007-03-25,114
2007-03-26,137
2007-03-27,141
2007-03-28,146
2007-03-29,139
2007-03-30,168
2007-03-31,121
2007-04-01,168
2007-04-02,128
2007-04-03,108
2007-04-04,120
2007-04-05,117
2007-04-06,139
2007-04-07,120
2007-04-08,87
2007-04-09,103
2007-04-10,111
2007-04-11,129
2007-04-12,132
2007-04-13,145
2007-04-14,116
2007-04-15,99
2007-04-16,127
2007-04-17,140
2007-04-18,150
2007-04-19,141
2007-04-20,146
2007-04-21,119
2007-04-22,107
2007-04-23,140
2007-04-24,135
2007-04-25,140
2007-04-26,150
2007-04-27,154
2007-04-28,128
2007-04-29,95
2007-04-30,134
2007-05-01,160
2007-05-02,118
2007-05-03,148
2007-05-04,139
2007-05-05,143
2007-05-06,115
2007-05-07,165
2007-05-08,114
2007-05-09,155
2007-05-10,148
2007-05-11,154
2007-05-12,139
2007-05-13,122
2007-05-14,130
2007-05-15,178
2007-05-16,154
2007-05-17,169
2007-05-18,144
2007-05-19,126
2007-05-20,138
2007-05-21,122
2007-05-22,149
2007-05-23,135
2007-05-24,135
2007-05-25,183
2007-05-26,132
2007-05-27,117
2007-05-28,141
2007-05-29,176
2007-05-30,143
2007-05-31,141
2007-06-01,182
2007-06-02,131
2007-06-03,117
2007-06-04,142
2007-06-05,163
2007-06-06,159
2007-06-07,129
2007-06-08,167
2007-06-09,124
2007-06-10,131
2007-06-11,132
2007-06-12,157
2007-06-13,172
2007-06-14,152
2007-06-15,145
2007-06-16,131
2007-06-17,128
2007-06-18,156
2007-06-19,148
2007-06-20,155
2007-06-21,144
2007-06-22,159
2007-06-23,147
2007-06-24,114
2007-06-25,153
2007-06-26,151
2007-06-27,156
2007-06-28,125
2007-06-29,151
2007-06-30,141
2007-07-01,158
2007-07-02,132
2007-07-03,168
2007-07-04,124
2007-07-05,139
2007-07-06,169
2007-07-07,154
2007-07-08,134
2007-07-09,148
2007-07-10,148
2007-07-11,140
2007-07-12,156
2007-07-13,146
2007-07-14,124
2007-07-15,121
2007-07-16,155
2007-07-17,134
2007-07-18,122
2007-07-19,145
2007-07-20,170
2007-07-21,133
2007-07-22,144
2007-07-23,112
2007-07-24,137
2007-07-25,170
2007-07-26,144
2007-07-27,155
2007-07-28,149
2007-07-29,125
2007-07-30,161
2007-07-31,167
2007-08-01,209
2007-08-02,135
2007-08-03,175
2007-08-04,141
2007-08-05,122
2007-08-06,131
2007-08-07,170
2007-08-08,155
2007-08-09,146
2007-08-10,161
2007-08-11,141
2007-08-12,152
2007-08-13,125
2007-08-14,148
2007-08-15,151
2007-08-16,146
2007-08-17,170
2007-08-18,139
2007-08-19,111
2007-08-20,158
2007-08-21,132
2007-08-22,146
2007-08-23,139
2007-08-24,164
2007-08-25,155
2007-08-26,147
2007-08-27,154
2007-08-28,140
2007-08-29,133
2007-08-30,147
2007-08-31,166
2007-09-01,180
2007-09-02,121
2007-09-03,141
2007-09-04,155
2007-09-05,163
2007-09-06,153
2007-09-07,133
2007-09-08,141
2007-09-09,135
2007-09-10,154
2007-09-11,134
2007-09-12,170
2007-09-13,147
2007-09-14,166
2007-09-15,152
2007-09-16,105
2007-09-17,163
2007-09-18,148
2007-09-19,152
2007-09-20,178
2007-09-21,187
2007-09-22,146
2007-09-23,129
2007-09-24,132
2007-09-25,137
2007-09-26,180
2007-09-27,161
2007-09-28,189
2007-09-29,132
2007-09-30,155
2007-10-01,189
2007-10-02,143
2007-10-03,146
2007-10-04,140
2007-10-05,177
2007-10-06,134
2007-10-07,146
2007-10-08,120
2007-10-09,138
2007-10-10,160
2007-10-11,153
2007-10-12,181
2007-10-13,128
2007-10-14,111
2007-10-15,137
2007-10-16,163
2007-10-17,164
2007-10-18,167
2007-10-19,160
2007-10-20,157
2007-10-21,148
2007-10-22,131
2007-10-23,176
2007-10-24,146
2007-10-25,147
2007-10-26,168
2007-10-27,145
2007-10-28,126
2007-10-29,149
2007-10-30,136
2007-10-31,175
2007-11-01,191
2007-11-02,155
2007-11-03,120
2007-11-04,127
2007-11-05,147
2007-11-06,154
2007-11-07,129
2007-11-08,162
2007-11-09,156
2007-11-10,146
2007-11-11,112
2007-11-12,135
2007-11-13,154
2007-11-14,148
2007-11-15,159
2007-11-16,151
2007-11-17,137
2007-11-18,123
2007-11-19,124
2007-11-20,144
2007-11-21,154
2007-11-22,84
2007-11-23,141
2007-11-24,119
2007-11-25,123
2007-11-26,148
2007-11-27,149
2007-11-28,135
2007-11-29,157
2007-11-30,182
2007-12-01,176
2007-12-02,99
2007-12-03,130
2007-12-04,142
2007-12-05,153
2007-12-06,129
2007-12-07,173
2007-12-08,120
2007-12-09,104
2007-12-10,140
2007-12-11,147
2007-12-12,157
2007-12-13,150
2007-12-14,152
2007-12-15,145
2007-12-16,112
2007-12-17,143
2007-12-18,152
2007-12-19,158
2007-12-20,142
2007-12-21,199
2007-12-22,149
2007-12-23,111
2007-12-24,132
2007-12-25,83
2007-12-26,112
2007-12-27,124
2007-12-28,154
2007-12-29,134
2007-12-30,121
2007-12-31,124
2008-01-01,269
2008-01-02,117
2008-01-03,126
2008-01-04,158
2008-01-05,144
2008-01-06,111
2008-01-07,138
2008-01-08,149
2008-01-09,134
2008-01-10,170
2008-01-11,158
2008-01-12,132
2008-01-13,115
2008-01-14,130
2008-01-15,134
2008-01-16,151
2008-01-17,148
2008-01-18,153
2008-01-19,132
2008-01-20,95
2008-01-21,116
2008-01-22,134
2008-01-23,120
2008-01-24,121
2008-01-25,149
2008-01-26,130
2008-01-27,107
2008-01-28,133
2008-01-29,113
2008-01-30,137
2008-01-31,138
2008-02-01,189
2008-02-02,146
2008-02-03,118
2008-02-04,150
2008-02-05,138
2008-02-06,123
2008-02-07,123
2008-02-08,141
2008-02-09,134
2008-02-10,93
2008-02-11,111
2008-02-12,126
2008-02-13,131
2008-02-14,146
2008-02-15,168
2008-02-16,120
2008-02-17,97
2008-02-18,99
2008-02-19,133
2008-02-20,137
2008-02-21,125
2008-02-22,126
2008-02-23,108
2008-02-24,103
2008-02-25,140
2008-02-26,131
2008-02-27,123
2008-02-28,110
2008-02-29,124
2008-03-01,172
2008-03-02,93
2008-03-03,150
2008-03-04,112
2008-03-05,155
2008-03-06,120
2008-03-07,134
2008-03-08,106
2008-03-09,98
2008-03-10,121
2008-03-11,130
2008-03-12,131
2008-03-13,150
2008-03-14,157
2008-03-15,121
2008-03-16,77
2008-03-17,116
2008-03-18,120
2008-03-19,114
2008-03-20,155
2008-03-21,141
2008-03-22,119
2008-03-23,112
2008-03-24,124
2008-03-25,129
2008-03-26,124
2008-03-27,148
2008-03-28,150
2008-03-29,130
2008-03-30,101
2008-03-31,139
2008-04-01,183
2008-04-02,118
2008-04-03,137
2008-04-04,152
2008-04-05,130
2008-04-06,122
2008-04-07,117
2008-04-08,113
2008-04-09,150
2008-04-10,151
2008-04-11,148
2008-04-12,119
2008-04-13,88
2008-04-14,148
2008-04-15,142
2008-04-16,145
2008-04-17,133
2008-04-18,167
2008-04-19,135
2008-04-20,133
2008-04-21,116
2008-04-22,130
2008-04-23,126
2008-04-24,136
2008-04-25,141
2008-04-26,122
2008-04-27,103
2008-04-28,132
2008-04-29,112
2008-04-30,121
2008-05-01,164
2008-05-02,150
2008-05-03,129
2008-05-04,116
2008-05-05,128
2008-05-06,134
2008-05-07,155
2008-05-08,152
2008-05-09,151
2008-05-10,138
2008-05-11,112
2008-05-12,149
2008-05-13,127
2008-05-14,150
2008-05-15,157
2008-05-16,142
2008-05-17,134
2008-05-18,110
2008-05-19,122
2008-05-20,120
2008-05-21,162
2008-05-22,136
2008-05-23,144
2008-05-24,128
2008-05-25,99
2008-05-26,123
2008-05-27,142
2008-05-28,150
2008-05-29,163
2008-05-30,169
2008-05-31,137
2008-06-01,148
2008-06-02,139
2008-06-03,141
2008-06-04,133
2008-06-05,162
2008-06-06,180
2008-06-07,142
2008-06-08,125
2008-06-09,136
2008-06-10,141
2008-06-11,143
2008-06-12,164
2008-06-13,157
2008-06-14,134
2008-06-15,97
2008-06-16,144
2008-06-17,147
2008-06-18,150
2008-06-19,143
2008-06-20,175
2008-06-21,150
2008-06-22,114
2008-06-23,112
2008-06-24,135
2008-06-25,158
2008-06-26,160
2008-06-27,163
2008-06-28,133
2008-06-29,135
2008-06-30,128
2008-07-01,202
2008-07-02,144
2008-07-03,155
2008-07-04,120
2008-07-05,141
2008-07-06,122
2008-07-07,115
2008-07-08,127
2008-07-09,149
2008-07-10,131
2008-07-11,180
2008-07-12,132
2008-07-13,155
2008-07-14,137
2008-07-15,156
2008-07-16,141
2008-07-17,145
2008-07-18,168
2008-07-19,140
2008-07-20,149
2008-07-21,155
2008-07-22,156
2008-07-23,160
2008-07-24,145
2008-07-25,186
2008-07-26,164
2008-07-27,126
2008-07-28,155
2008-07-29,138
2008-07-30,149
2008-07-31,158
2008-08-01,220
2008-08-02,142
2008-08-03,153
2008-08-04,137
2008-08-05,136
2008-08-06,143
2008-08-07,157
2008-08-08,139
2008-08-09,139
2008-08-10,126
2008-08-11,141
2008-08-12,143
2008-08-13,124
2008-08-14,157
2008-08-15,177
2008-08-16,133
2008-08-17,146
2008-08-18,127
2008-08-19,160
2008-08-20,159
2008-08-21,147
2008-08-22,166
2008-08-23,154
2008-08-24,120
2008-08-25,129
2008-08-26,164
2008-08-27,138
2008-08-28,183
2008-08-29,156
2008-08-30,155
2008-08-31,127
2008-09-01,167
2008-09-02,152
2008-09-03,175
2008-09-04,146
2008-09-05,170
2008-09-06,121
2008-09-07,122
2008-09-08,138
2008-09-09,152
2008-09-10,132
2008-09-11,143
2008-09-12,159
2008-09-13,146
2008-09-14,136
2008-09-15,144
2008-09-16,139
2008-09-17,144
2008-09-18,174
2008-09-19,160
2008-09-20,138
2008-09-21,135
2008-09-22,139
2008-09-23,143
2008-09-24,137
2008-09-25,148
2008-09-26,152
2008-09-27,141
2008-09-28,143
2008-09-29,188
2008-09-30,153
2008-10-01,189
2008-10-02,162
2008-10-03,167
2008-10-04,145
2008-10-05,111
2008-10-06,136
2008-10-07,127
2008-10-08,138
2008-10-09,135
2008-10-10,161
2008-10-11,118
2008-10-12,127
2008-10-13,134
2008-10-14,161
2008-10-15,152
2008-10-16,164
2008-10-17,185
2008-10-18,148
2008-10-19,115
2008-10-20,165
2008-10-21,148
2008-10-22,131
2008-10-23,149
2008-10-24,172
2008-10-25,135
2008-10-26,91
2008-10-27,167
2008-10-28,139
2008-10-29,140
2008-10-30,121
2008-10-31,150
2008-11-01,180
2008-11-02,105
2008-11-03,111
2008-11-04,102
2008-11-05,156
2008-11-06,147
2008-11-07,174
2008-11-08,124
2008-11-09,118
2008-11-10,142
2008-11-11,136
2008-11-12,147
2008-11-13,131
2008-11-14,171
2008-11-15,149
2008-11-16,122
2008-11-17,137
2008-11-18,128
2008-11-19,128
2008-11-20,173
2008-11-21,165
2008-11-22,134
2008-11-23,104
2008-11-24,159
2008-11-25,118
2008-11-26,131
2008-11-27,68
2008-11-28,148
2008-11-29,115
2008-11-30,96
2008-12-01,210
2008-12-02,134
2008-12-03,149
2008-12-04,133
2008-12-05,162
2008-12-06,105
2008-12-07,94
2008-12-08,122
2008-12-09,153
2008-12-10,155
2008-12-11,144
2008-12-12,147
2008-12-13,128
2008-12-14,97
2008-12-15,132
2008-12-16,149
2008-12-17,143
2008-12-18,155
2008-12-19,124
2008-12-20,114
2008-12-21,107
2008-12-22,108
2008-12-23,120
2008-12-24,136
2008-12-25,93
2008-12-26,149
2008-12-27,128
2008-12-28,105
2008-12-29,149
2008-12-30,123
2008-12-31,153
2009-01-01,206
2009-01-02,146
2009-01-03,134
2009-01-04,96
2009-01-05,122
2009-01-06,118
2009-01-07,129
2009-01-08,126
2009-01-09,151
2009-01-10,95
2009-01-11,89
2009-01-12,155
2009-01-13,151
2009-01-14,117
2009-01-15,131
2009-01-16,118
2009-01-17,121
2009-01-18,108
2009-01-19,86
2009-01-20,110
2009-01-21,138
2009-01-22,141
2009-01-23,136
2009-01-24,118
2009-01-25,76
2009-01-26,98
2009-01-27,121
2009-01-28,106
2009-01-29,124
2009-01-30,131
2009-01-31,98
2009-02-01,139
2009-02-02,114
2009-02-03,99
2009-02-04,106
2009-02-05,99
2009-02-06,135
2009-02-07,108
2009-02-08,86
2009-02-09,89
2009-02-10,126
2009-02-11,122
2009-02-12,129
2009-02-13,130
2009-02-14,119
2009-02-15,86
2009-02-16,96
2009-02-17,98
2009-02-18,125
2009-02-19,115
2009-02-20,127
2009-02-21,107
2009-02-22,92
2009-02-23,80
2009-02-24,125
2009-02-25,114
2009-02-26,123
2009-02-27,129
2009-02-28,126
2009-03-01,111
2009-03-02,72
2009-03-03,78
2009-03-04,122
2009-03-05,111
2009-03-06,131
2009-03-07,122
2009-03-08,102
2009-03-09,101
2009-03-10,139
2009-03-11,155
2009-03-12,125
2009-03-13,136
2009-03-14,116
2009-03-15,86
2009-03-16,112
2009-03-17,96
2009-03-18,120
2009-03-19,124
2009-03-20,115
2009-03-21,102
2009-03-22,90
2009-03-23,109
2009-03-24,102
2009-03-25,141
2009-03-26,128
2009-03-27,135
2009-03-28,122
